Global_Rank,Molecule_ID,CAS,SMILES,Formula,MW,LogP,TPSA,HBD,HBA,RotB,AromRings,Rings,FracCsp3,HeavyAtoms,N_Halogen,N_ToxAlerts,Tox_Alerts,S_efficacy,S_safety,S_total,Duplicate_IDs
1,T10732,113932-41-5,CCOC(=O)C(C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)[N+]2(C)C)c1ccccc1,C20H28NO4+,346.45,2.65,52.6,0,4,5,1,3,0.6,25,0,0,none,1.0,1.0,1.0,T10732
2,TN7150,56402-79-0,COc1ccc(NC(=O)Nc2ccc(OC)cc2OC)c(OC)c1,C17H20N2O5,332.36,3.37,78.05,2,5,6,2,2,0.235,24,0,0,none,1.0,1.0,1.0,TN7150
3,T67952,2417988-00-0,COc1ccc(CN=C(C)c2c(O)c3ccccc3oc2=O)cc1,C19H17NO4,323.35,3.52,72.03,1,5,4,3,3,0.158,24,0,0,none,0.9999,1.0,1.0,T67952
4,T23003,1443118-44-2,COc1ccc(C#Cc2ccc(C(=O)N3CCC[C@@H](O)C3)c(F)c2)cc1,C21H20FNO3,353.39,2.83,49.77,1,3,2,2,3,0.286,26,1,0,none,1.0,1.0,1.0,T23003
5,T2A2486,53350-26-8,COc1cc(OC)c2c(=O)cc(-c3cc(OC)c(OC)c(OC)c3)oc2c1,C20H20O7,372.37,3.5,76.36,0,7,6,3,3,0.25,27,0,0,none,1.0,1.0,1.0,T2A2486
6,T38367,1208549-68-1,O=C(Nc1ccc(OC(F)(F)F)cc1)NC1CCN(C(=O)C2CC2)CC1,C17H20F3N3O3,371.36,3.11,70.67,2,3,4,1,3,0.529,26,3,0,none,1.0,1.0,1.0,T38367
7,T0151,119-41-5,CCOC(=O)COc1ccc2c(=O)cc(-c3ccccc3)oc2c1,C19H16O5,324.33,3.4,65.74,0,5,5,3,3,0.158,24,0,0,none,1.0,1.0,1.0,T0151
8,T60023,58125-33-0,N#Cc1c(NC(=O)CN2CCCCC2)sc2c1CCCC2,C16H21N3OS,303.43,2.92,56.13,1,4,3,1,3,0.625,21,0,0,none,1.0,1.0,1.0,T60023
9,T16528,942289-87-4,Nc1ccc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)cc1,C19H18N2O3,322.36,2.88,68.7,1,5,2,3,4,0.211,24,0,0,none,1.0,1.0,1.0,T16528
10,T73772,1240-04-6,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,C18H22O5S,350.44,3.29,80.67,1,4,2,1,4,0.611,24,0,0,none,1.0,1.0,1.0,T0345;T36857;T36857L;T73772
11,T4140,1820787-94-7,N#Cc1ccc2ncnc(N[C@H]3CC[C@H](N4CCOCC4)CC3)c2c1,C19H23N5O,337.43,2.56,74.07,1,6,3,2,4,0.526,25,0,0,none,1.0,1.0,1.0,T4140
12,T1286,1617-90-9,CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,C21H26N2O3,354.45,2.95,54.7,1,4,2,2,5,0.571,26,0,0,none,1.0,1.0,1.0,T1286
13,T23470,1135210-68-2,CCCCNc1c(C(=O)OCC)c(C)nc2c1cnn2CC,C16H24N4O2,304.39,3.15,69.04,1,5,7,2,2,0.562,22,0,0,none,1.0,1.0,1.0,T23470
14,T5S0777,104112-82-5,COc1cc2c(cc1O)C[C@H]1c3cc(O)c(OC)cc3CC[N+]1(C)C2,C20H24NO4+,342.42,2.92,58.92,2,4,2,2,4,0.4,25,0,0,none,1.0,1.0,1.0,T5S0777
15,T2919,607-80-7,c1cc2c(cc1[C@H]1OC[C@H]3[C@@H]1CO[C@@H]3c1ccc3c(c1)OCO3)OCO2,C20H18O6,354.36,3.22,55.38,0,6,2,2,6,0.4,26,0,0,none,1.0,1.0,1.0,T2919
