Global_Rank,Molecule_ID,CAS,SMILES,Formula,MW,LogP,TPSA,HBD,HBA,RotB,AromRings,Rings,FracCsp3,HeavyAtoms,N_Halogen,N_ToxAlerts,Tox_Alerts,S_efficacy,S_safety,S_total,Duplicate_IDs,Nearest_Reference,Ref_Target,Ref_Mechanism,Ref_Tanimoto,Chemotype,Chemotype_Target,Chemotype_Mechanism,Chemotype_Weight,S_mech,Murcko_Scaffold,S_nomination
1,T10732,113932-41-5,CCOC(=O)C(C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)[N+]2(C)C)c1ccccc1,C20H28NO4+,346.45,2.65,52.6,0,4,5,1,3,0.6,25,0,0,none,1.0,1.0,1.0,T10732,Pravastatin,HMGCR,开环羟酸型亲水 HMGCR 抑制剂,0.207,无明确优势骨架命中,,,0.0,0.2073,O=C(Cc1ccccc1)OC1CC2CCC(C1)[NH2+]2,0.6036
2,TN7150,56402-79-0,COc1ccc(NC(=O)Nc2ccc(OC)cc2OC)c(OC)c1,C17H20N2O5,332.36,3.37,78.05,2,5,6,2,2,0.235,24,0,0,none,1.0,1.0,1.0,TN7150,Ranolazine,pFOX / 晚钠电流,部分脂肪酸氧化抑制，改善代谢底物利用,0.226,无明确优势骨架命中,,,0.0,0.2258,O=C(Nc1ccccc1)Nc1ccccc1,0.6129
3,T67952,2417988-00-0,COc1ccc(CN=C(C)c2c(O)c3ccccc3oc2=O)cc1,C19H17NO4,323.35,3.52,72.03,1,5,4,3,3,0.158,24,0,0,none,0.9999,1.0,1.0,T67952,Rosiglitazone,PPAR-gamma,TZD 类 PPAR-gamma 全激动剂，改善胰岛素抵抗与肝内脂肪蓄积,0.195,无明确优势骨架命中,,,0.0,0.1948,O=c1oc2ccccc2cc1C=NCc1ccccc1,0.5974
4,T23003,1443118-44-2,COc1ccc(C#Cc2ccc(C(=O)N3CCC[C@@H](O)C3)c(F)c2)cc1,C21H20FNO3,353.39,2.83,49.77,1,3,2,2,3,0.286,26,1,0,none,1.0,1.0,1.0,T23003,TVB-2640 (Denifanstat),FASN,脂肪酸合酶 beta-酮脂酰还原酶结构域抑制剂，直接阻断棕榈酸从头合成,0.202,哌嗪/哌啶杂芳基甲酰胺,SCD1 / DGAT2,脂质酶抑制剂常见的环胺-酰胺连接模式，倾向作用于 SCD1/DGAT2 等内质网膜结合型脂质合成酶,0.55,0.4497,O=C(c1ccc(C#Cc2ccccc2)cc1)N1CCCCC1,0.7248
5,T2A2486,53350-26-8,COc1cc(OC)c2c(=O)cc(-c3cc(OC)c(OC)c(OC)c3)oc2c1,C20H20O7,372.37,3.5,76.36,0,7,6,3,3,0.25,27,0,0,none,1.0,1.0,1.0,T2A2486,ACC inhibitor chemotype (firsocostat-like proxy),ACC1/ACC2,变构抑制乙酰辅酶A羧化酶，降低丙二酰辅酶A、阻断新发脂质合成(DNL)并解除 CPT1 抑制,0.197,黄酮/黄烷酮母核,AMPK / SREBP-1c,黄酮类多酚激活 AMPK-SIRT1 轴，抑制 SREBP-1c/FAS/ACC 表达并促进脂噬,0.6,0.4672,O=c1cc(-c2ccccc2)oc2ccccc12,0.7336
6,T38367,1208549-68-1,O=C(Nc1ccc(OC(F)(F)F)cc1)NC1CCN(C(=O)C2CC2)CC1,C17H20F3N3O3,371.36,3.11,70.67,2,3,4,1,3,0.529,26,3,0,none,1.0,1.0,1.0,T38367,TVB-2640 (Denifanstat),FASN,脂肪酸合酶 beta-酮脂酰还原酶结构域抑制剂，直接阻断棕榈酸从头合成,0.36,无明确优势骨架命中,,,0.0,0.36,O=C(Nc1ccccc1)NC1CCN(C(=O)C2CC2)CC1,0.68
7,T0151,119-41-5,CCOC(=O)COc1ccc2c(=O)cc(-c3ccccc3)oc2c1,C19H16O5,324.33,3.4,65.74,0,5,5,3,3,0.158,24,0,0,none,1.0,1.0,1.0,T0151,Etomoxir,CPT1a (抑制剂/阴性对照),CPT1 不可逆抑制剂，作为脂肪酸氧化通路机制阴性对照,0.269,黄酮/黄烷酮母核,AMPK / SREBP-1c,黄酮类多酚激活 AMPK-SIRT1 轴，抑制 SREBP-1c/FAS/ACC 表达并促进脂噬,0.6,0.5387,O=c1cc(-c2ccccc2)oc2ccccc12,0.7694
8,T60023,58125-33-0,N#Cc1c(NC(=O)CN2CCCCC2)sc2c1CCCC2,C16H21N3OS,303.43,2.92,56.13,1,4,3,1,3,0.625,21,0,0,none,1.0,1.0,1.0,T60023,Ranolazine,pFOX / 晚钠电流,部分脂肪酸氧化抑制，改善代谢底物利用,0.233,无明确优势骨架命中,,,0.0,0.2329,O=C(CN1CCCCC1)Nc1cc2c(s1)CCCC2,0.6164
9,T16528,942289-87-4,Nc1ccc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)cc1,C19H18N2O3,322.36,2.88,68.7,1,5,2,3,4,0.211,24,0,0,none,1.0,1.0,1.0,T16528,PF-06424439 (DGAT2i),DGAT2,二酰甘油酰基转移酶2 抑制剂，直接阻断甘油三酯酯化终末步骤,0.183,无明确优势骨架命中,,,0.0,0.1831,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,0.5916
10,T73772,1240-04-6,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,C18H22O5S,350.44,3.29,80.67,1,4,2,1,4,0.611,24,0,0,none,1.0,1.0,1.0,T0345;T36857;T36857L;T73772,Ciprofibrate,PPAR-alpha,长效贝特类，诱导过氧化物酶体增殖与脂肪酸 beta-氧化,0.179,无明确优势骨架命中,,,0.0,0.1791,O=C1CCC2C1CCC1c3ccccc3CCC12,0.5896
