Rank,Molecule_ID,CAS,SMILES,Formula,MW,LogP,TPSA,HBD,HBA,RotB,FracCsp3,Chemical_Class,Primary_Target_Hypothesis,Mechanism_Hypothesis,Predicted_Efficacy,Predicted_Cytotoxicity,Cytotoxicity_Caveat,Rationale,S_efficacy,S_safety,S_total,S_mech,S_nomination,Nearest_Reference_Drug,Ref_Tanimoto,Matched_Chemotype_Rule,Structural_Alerts,Duplicate_Catalog_IDs,Murcko_Scaffold
1,T2607,146062-49-9,CCc1ccc(C(=O)COc2ccc(CC3SC(=O)NC3=O)cc2)nc1,C19H18N2O4S,370.43,2.8,85.36,1,6,7,0.263,"5-{4-[2-(5-乙基吡啶-2-基)-2-氧代乙氧基]苄基}噻唑烷-2,4-二酮；吡格列酮的酮基同系物",PPAR-gamma (兼 PPAR-alpha 部分激动),TZD 酸性头基进入 PPAR-gamma 配体结合域，与 Tyr473/His449/His323/Ser289 形成四点氢键网络，稳定 AF-2 螺旋12 构象并招募 SRC-1/PGC-1alpha 共激活因子。在肝细胞层面下调 SREBP-1c 驱动的 FASN/ACC1/SCD1 转录，抑制新发脂质合成(DNL)；同时经脂联素-AdipoR-AMPK 轴磷酸化失活 ACC，降低丙二酰辅酶A 并解除对 CPT1A 的变构抑制，提升线粒体 beta-氧化通量。,"High (S_efficacy=1.000, S_mech=0.964, S_nomination=0.982)",低 (S_safety=1.000; 结构警示子=none; LogP=2.8; TPSA=85.36),无结构警示子，LogP/TPSA 均在安全区。类别风险提示：曲格列酮的肝毒性源于其色满环醌式代谢物，本分子不含色满环亦无醌前体，该特定风险不适用；吡格列酮/罗格列酮在 HepG2 中通常 ≤100 µM 无明显活力下降。,全流程最高分 (S_nomination=0.982)。LogP 2.80 与 TPSA 85.4 同时落于最佳窗口中心，S_efficacy 与 S_safety 双双满分；TZD 头基精确命中 PPAR-gamma 药效团 (规则权重 0.92)；与吡格列酮 Tanimoto=0.673，属同化学型但非同一分子，具备结构衍生空间；MW 370 接近 350 最优值；无任何结构警示子。,1.0,1.0,1.0,0.964,0.982,Pioglitazone,0.673,"噻唑烷-2,4-二酮 (TZD)",none,T2607,O=C1NC(=O)C(Cc2ccc(OCC(=O)c3ccccn3)cc2)S1
2,T12092,79952-42-4,C[C@H]1C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]2[C@@H](O)C1,C19H28O4,320.43,2.6,66.76,2,4,3,0.737,六氢萘并 delta-内酯型 statin 母核 (mevastatin/monacolin 系)，含二级羟基,HMGCR (3-羟基-3-甲基戊二酰辅酶A 还原酶),"delta-内酯为前药形式，经肝细胞羧酸酯酶 CES1 开环生成 3,5-二羟基戊酸活性型，以纳摩尔级亲和力竞争性占据 HMGCR 的 HMG-CoA 结合位点，阻断甲羟戊酸通路。继发上调 SREBP-2/LDLR 增强 LDL 摄取；并因香叶基香叶基焦磷酸(GGPP)耗竭解除对 AMPK 的抑制，间接下调 SREBP-1c 依赖的脂肪生成程序。","High (S_efficacy=0.971, S_mech=0.946, S_nomination=0.964)",低 (需机制性验证) (S_safety=1.000; 结构警示子=none; LogP=2.6; TPSA=66.76),"理化启发式判为低毒，但 statin 类在肝细胞中可因甲羟戊酸/泛醌(CoQ10)耗竭在 >10 µM 出现活力下降。必须设置甲羟戊酸回补(mevalonate rescue, 200 µM)对照：若回补可逆转降脂效应则为在靶药理，若仅逆转活力下降则提示在靶毒性，二者需分别判读。",命中 statin delta-内酯药效团 (规则权重 0.88)，与辛伐他汀 Tanimoto=0.672；Csp3=0.74 三维性突出，脱靶倾向低；LogP 2.60/TPSA 66.8 位于最佳窗口；S_safety=1.000 且无结构警示子；MW 320 类药性优良。,0.9705,1.0,0.9823,0.946,0.9642,Simvastatin,0.672,statin delta-内酯前药,none,T12092,O=C1CCCC(CCC2CC=CC3=CCCCC32)O1
3,T19124,2304-89-4,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,C24H38O5,406.56,3.66,94.83,3,4,4,0.917,"3-氧代-7,12-二羟基-5beta-胆烷-24-酸 (3-脱氢胆酸型氧代胆汁酸)",FXR (NR1H4，兼 TGR5/GPBAR1),胆汁酸甾核激动核受体 FXR，诱导小异二聚体伴侣 SHP(NR0B2)，进而抑制 SREBP-1c 与 ChREBP 的转录活性，下调 FASN/ACC1/SCD1/DGAT2 等脂肪生成基因；同时经肠-肝 FGF19/FGFR4-beta-Klotho 轴抑制 CYP7A1，重塑胆汁酸池。3-位酮基相较天然 3alpha-羟基改变了 A 环与 FXR 口袋的氢键取向，预期呈部分激动特征，有望降低全激动剂的瘙痒与 LDL-C 升高等类效应。,"High (S_efficacy=0.958, S_mech=0.955, S_nomination=0.964)",中-低 (S_safety=0.995; 结构警示子=none; LogP=3.66; TPSA=94.83),机制性警示：疏水性胆汁酸在高浓度 (>100 µM) 具去污剂样膜损伤与线粒体通透性转换孔开放毒性。建议将测试上限控制在 50 µM，并以 LDH 释放(膜完整性)与 ATP(CellTiter-Glo) 双读出区分膜裂解型毒性与代谢抑制型毒性。,完整胆汁酸药效团 (甾核 + C24 羧酸，规则权重 0.90)，与鹅去氧胆酸 Tanimoto=0.562；Csp3=0.92 为全表最高，三维性与选择性俱佳；TPSA 94.8、HBD=3 提供充分极性；S_safety=0.995 且无结构警示子。,0.9576,0.9949,0.9725,0.955,0.9638,Chenodeoxycholic acid,0.562,胆汁酸甾核 + C24 羧酸,none,T19124,O=C1CCC2C(CCC3C4CCCC4CCC23)C1
4,T75436,483-43-2,COc1cc2c(cc1O)CC[n+]1cc3c(OC)c(OC)ccc3cc1-2,C20H20NO4+,338.38,3.08,51.8,1,4,3,0.25,原小檗碱型季铵异喹啉生物碱 (一羟基三甲氧基取代，小檗碱去甲基类似物),AMPK / LDLR (兼 PCSK9 下调),季铵阳离子在线粒体膜电位驱动下富集于线粒体基质，抑制呼吸链复合物I，升高 AMP/ATP 比值，经 LKB1 激活 AMPK；AMPK 磷酸化失活 ACC1/2 降低丙二酰辅酶A 阻断 DNL，并解除对 CPT1A 的抑制促进 beta-氧化；同时抑制 SREBP-1c 前体加工。此外经 ERK 通路延长 LDLR mRNA 半衰期、下调 PCSK9 与 HNF1alpha，增强 LDL 清除。,"High (S_efficacy=1.000, S_mech=0.910, S_nomination=0.955)",中 (启发式低估) (S_safety=1.000; 结构警示子=none; LogP=3.08; TPSA=51.8),重要：理化打分给出满分安全性，但未捕捉阳离子亲脂性物质(DLC)的线粒体蓄积毒性。小檗碱类在 HepG2 中常于 25-50 µM 以上引起活力下降。须采用密集剂量梯度 (0.1-100 µM，8 点)并严格以治疗指数 TI=CC50/EC50>5 判读；因其抑制复合物I，ATP 类活力读出会与药理机制混淆，应改用或并用 Hoechst 核计数/蛋白酶活性型(CellTiter-Fluor)活力读出。,S_total=1.000 (S_efficacy 与 S_safety 双满分)；与小檗碱 Tanimoto=0.698 同属原小檗碱化学型，而小檗碱系是 HepG2-FFA 脂质蓄积模型中文献公认的降脂阳性化学型；LogP 3.08/TPSA 51.8 兼顾细胞摄取与溶解性；无结构警示子。库内存在三个货号 (T3933/T4912/T75436) 对应同一结构，采购便利。,1.0,1.0,1.0,0.91,0.955,Berberine,0.698,原小檗碱型季铵异喹啉生物碱,none,T3933;T4912;T75436,c1ccc2c(c1)CC[n+]1cc3ccccc3cc1-2
5,T21318,131179-95-8,Cc1cc(C)cc(NC(=O)Cc2ccc(OC(C)(C)C(=O)O)cc2)c1,C20H23NO4,341.41,3.73,75.63,2,3,6,0.3,"2-{4-[2-(3,5-二甲基苯氨基)-2-氧代乙基]苯氧基}-2-甲基丙酸 (贝特类芳氧基异丁酸)",PPAR-alpha,芳氧基异丁酸酸性头基与 PPAR-alpha 配体结合域的 Ser280/Tyr314/His440/Tyr464 形成经典四点氢键，招募 PGC-1alpha/SRC-1，转录上调 CPT1A、ACOX1、ACADM、FGF21 与 UCP2，同时增强线粒体与过氧化物酶体脂肪酸 beta-氧化；并下调 apoC-III 促进 LPL 介导的 TG 水解清除，整体降低肝细胞内甘油三酯池。,"Moderate-High (S_efficacy=0.989, S_mech=0.834, S_nomination=0.913)",低 (S_safety=1.000; 结构警示子=none; LogP=3.73; TPSA=75.63),贝特类在人肝细胞中安全窗宽 (PPAR-alpha 介导的过氧化物酶体增殖为啮齿类特异效应，人肝细胞不显著)。无结构警示子，卤素数为 0。,"精确命中贝特类药效团 (规则权重 0.90)，但与苯扎贝特 Tanimoto 仅 0.429，说明尾部骨架 (3,5-二甲基苯乙酰胺) 新颖，具备知识产权空间；S_safety=1.000、无结构警示子、S_total=0.993；LogP 3.73 略偏高但 TPSA 75.6 有效补偿。",0.9886,1.0,0.9932,0.8336,0.9134,Bezafibrate,0.429,芳氧基异丁酸 (贝特类头基),none,T21318;T6482,O=C(Cc1ccccc1)Nc1ccccc1
6,TN2058,28590-40-1,COc1cc(O)c2c(c1)O[C@H](c1ccc(OC)c(O)c1)CC2=O,C17H16O6,316.31,2.82,85.22,2,6,3,0.235,5-羟基-7-甲氧基-3'-羟基-4'-甲氧基黄烷酮 (橙皮素甲醚型二氢黄酮),AMPK / SREBP-1c,黄烷酮母核激活 AMPK-SIRT1 轴，抑制 SREBP-1c 的 S1P/S2P 剪切成熟与核转位，下调 FASN/ACC1/SCD1 转录阻断 DNL；同时上调 PPAR-alpha/CPT1A 促进 beta-氧化，并经 Nrf2-ARE 通路缓解游离脂肪酸诱导的氧化应激与脂性凋亡(lipoapoptosis)。,"Moderate-High (S_efficacy=1.000, S_mech=0.820, S_nomination=0.910)",低 (S_safety=1.000; 结构警示子=none; LogP=2.82; TPSA=85.22),无结构警示子。实验注意事项：黄酮类在 480-520 nm 有自发荧光，与 BODIPY 493/503 通道重叠，必须设置'化合物 + 无细胞'与'化合物 + 细胞 + 无染料'两组荧光背景对照，或改用偏红移的 Nile Red (Ex 552/Em 636) 通道读出以规避干扰。,S_total=1.000 (双项满分)；与柚皮素 Tanimoto=0.571 属同一黄烷酮化学型；关键在于该分子通过了 PAINS 过滤 —— 区别于槲皮素、姜黄素、白藜芦醇等因儿茶酚/查耳酮基序被判为泛筛选干扰的多酚，其甲氧基化降低了氧化还原循环与非特异性反应性；MW 316、LogP 2.82、HBD=2 类药性优良。,1.0,1.0,1.0,0.82,0.91,Naringenin,0.571,黄酮/黄烷酮母核,none,TN2058,O=C1CC(c2ccccc2)Oc2ccccc21
7,T15049,79094-20-5,O=C(O)Cc1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1,C16H16ClNO4S,353.83,2.49,83.47,2,3,7,0.188,4-{2-[(4-氯苯磺酰基)氨基]乙基}苯乙酸 (芳基乙酸-芳基磺酰胺),PPAR pan (alpha/delta/gamma),芳基乙酸酸性头基 + 柔性乙基连接臂 + 芳基磺酰胺疏水尾，重现 lanifibranor 型泛 PPAR 药效团。同时激动 PPAR-alpha (上调 CPT1A/ACOX1 促 beta-氧化)、PPAR-delta (提升脂肪酸摄取与氧化利用) 与PPAR-gamma (促脂质向脂肪组织再分布)，三受体协同下调肝细胞 TG 池；泛 PPAR 激动在 NATIVE 等临床研究中显示出优于单靶点的脂肪变改善。,"Moderate (S_efficacy=1.000, S_mech=0.733, S_nomination=0.866)",低 (S_safety=1.000; 结构警示子=none; LogP=2.49; TPSA=83.47),无结构警示子。在靶性提示：该芳基乙酸-磺酰胺基序亦见于前列腺素/血栓素类似物，故靶点归属置信度为中等，必须在机制解卷积阶段以 PPRE-荧光素酶报告基因 (PPARalpha/delta/gamma 三亚型分别检测) 确认在靶激动活性，避免机制误判。,S_total=1.000，LogP 2.49/TPSA 83.5 极接近最佳窗口中心；MW 354 贴近 350 最优值；无结构警示子、仅 1 个卤素；与参照集最大相似度仅 0.382，为化学空间中的新颖骨架。,1.0,1.0,1.0,0.7328,0.8664,Bezafibrate,0.382,芳基乙酸 + 磺酰胺 (pan-PPAR lanifibranor 型),none,T15049,O=S(=O)(NCCc1ccccc1)c1ccccc1
8,T8701,1309241-34-6,Cc1ccc(C)c(OCCNC2CCN(C(=O)c3ccncc3)CC2)c1,C21H27N3O2,353.47,2.97,54.46,1,4,6,0.429,"[4-{[2-(2,5-二甲基苯氧基)乙基]氨基}哌啶-1-基](吡啶-4-基)甲酮",DGAT2 / FASN,杂芳基甲酰胺-哌啶铰链模体是 DGAT2 与 FASN 抑制剂共有的药效团 (对照 PF-06424439、TVB-2640)。若作用于 DGAT2，则直接阻断二酰甘油->三酰甘油酯化的终末限速步骤，快速缩小脂滴体积并减少 VLDL 分泌，且因不干扰 DGAT1 介导的肠道脂质吸收而胃肠道耐受性佳；若作用于 FASN 则阻断棕榈酸从头合成，减少 DNL 底物供应。,"Moderate (S_efficacy=1.000, S_mech=0.698, S_nomination=0.849)",低 (S_safety=1.000; 结构警示子=none; LogP=2.97; TPSA=54.46),无结构警示子。碱性仲胺 + 亲脂性组合存在阳离子两亲性药物(CAD)特征，理论上有磷脂沉积与 hERG 风险，建议在成药性评估阶段并行 LipidTOX Phospholipidosis 染色与 hERG 膜片钳；注意磷脂沉积会在中性脂染色中产生假阳性/假阴性干扰。,S_total=1.000 (双项满分)；LogP 2.97、TPSA 54.5、Csp3=0.43 类先导性优良，三维性高于典型平面芳香分子；MW 353 贴近 350 最优值；无结构警示子；与参照集相似度仅 0.383，属新颖骨架。,1.0,1.0,1.0,0.6983,0.8492,Gemfibrozil,0.383,嘧啶/吡啶甲酰胺 + 哌啶(哌嗪),none,T8701,O=C(c1ccncc1)N1CCC(NCCOc2ccccc2)CC1
9,T8532,1422365-93-2,N=C(NC(=N)N1CCCC1)Nc1ccc(OC(F)(F)F)cc1,C13H16F3N5O,315.3,2.55,84.23,4,3,2,0.385,1-[4-(三氟甲氧基)苯基]-5-(吡咯烷-1-基)双胍 (芳基双胍),AMPK (间接，经线粒体复合物I),双胍经有机阳离子转运体 OCT1/OCT3 进入肝细胞并在线粒体内蓄积，抑制呼吸链复合物I，升高 AMP/ATP 与 ADP/ATP 比值，经 LKB1 激活 AMPK；AMPK 磷酸化 ACC1(Ser79)/ACC2(Ser212) 使之失活，降低丙二酰辅酶A 从而同时阻断 DNL 并解除 CPT1A 抑制、提升 beta-氧化；并抑制 SREBP-1c 成熟、促进脂噬(lipophagy)。,"Moderate (S_efficacy=1.000, S_mech=0.652, S_nomination=0.826)",中-高 (启发式显著低估) (S_safety=1.000; 结构警示子=none; LogP=2.55; TPSA=84.23),关键风险，必须重点关注：本分子属苯乙双胍(phenformin)类芳基双胍，亲脂性远高于二甲双胍，线粒体蓄积更强 —— 苯乙双胍正因致命性乳酸酸中毒而于 1970 年代撤市。预期在 HepG2 中呈现窄治疗窗：ATP 耗竭与乳酸堆积可能在接近降脂有效浓度处即出现。验证要求：(1) 禁止仅用 CellTiter-Glo 判读活力 —— 复合物I 抑制直接压低 ATP，会把在靶药理误判为毒性；须以 Hoechst 核计数或 CellTiter-Fluor(蛋白酶活性)为主读出，ATP 为辅；(2) 并行检测培养基乳酸/ECAR；(3) 严格要求 TI>5，若 TI<5 判为'毒性驱动的假降脂'并淘汰。,精确命中双胍药效团 (规则权重 0.90)；S_total=1.000，LogP 2.55/TPSA 84.2 位于窗口内；MW 315 类药性良好。相对二甲双胍，芳基与三氟甲氧基显著提升亲脂性，预期细胞内暴露与效价远高于二甲双胍 (后者在 HepG2 中常需 mM 级)。,1.0,1.0,1.0,0.6518,0.8259,TVB-2640 (Denifanstat),0.247,双胍 (biguanide),none,T8532,N=C(NC(=N)N1CCCC1)Nc1ccccc1
10,T4515,1032229-33-6,CNC(=O)c1cccc(NC(=O)N2CCC(Oc3ccccc3Cl)CC2)c1,C20H22ClN3O3,387.87,3.77,70.67,2,3,4,0.3,3-{[4-(2-氯苯氧基)哌啶-1-羰基]氨基}-N-甲基苯甲酰胺 (芳基脲-4-芳氧基哌啶),DGAT2 / SCD1,芳基脲 + 4-芳氧基哌啶 是 ervogastat (PF-06865571) 型 DGAT2 抑制剂的标志性药效团。抑制 DGAT2 阻断 DAG->TAG 酯化终末步骤，直接减少脂滴生成与 VLDL 分泌；DGAT2 抑制在临床上还可协同 ACC 抑制剂拮抗后者引起的高甘油三酯血症。若作用于 SCD1，则降低单不饱和脂肪酸(油酸/棕榈油酸)供应，限制 TAG 酯化底物。,"Moderate (S_efficacy=0.983, S_mech=0.613, S_nomination=0.801)",低 (S_safety=1.000; 结构警示子=none; LogP=3.77; TPSA=70.67),无结构警示子。类别提示：DGAT2 抑制在肝细胞中可能引起 DAG 蓄积，而 DAG 是 PKCepsilon 的激活剂并与胰岛素抵抗相关，建议在机制解卷积时同步用 LC-MS 脂质组学监测 DAG/TAG 比值变化，确认脂质流向而非仅看总脂滴信号。,与 ervogastat 共享脲-哌啶醚核心骨架 (规则权重 0.68)；S_total=0.990、S_safety=1.000；LogP 3.77 与 TPSA 70.7 均在可接受区间；MW 388、无结构警示子、仅 1 个卤素；与参照集相似度 0.307，骨架新颖。,0.9833,1.0,0.99,0.6127,0.8014,Ervogastat (PF-06865571),0.307,杂芳基脲 (DGAT2/SCD1 型),none,T4515,O=C(Nc1ccccc1)N1CCC(Oc2ccccc2)CC1
